shape,carat,cut,color,clarity,report,type
Round,0.7,'Very Good',D,VS1,GIA,natural
Round,0.9,'Very Good',J,VVS2,GIA,natural
Round,0.32,Ideal,E,VVS2,IGI,lab
Round,1.03,'Super Ideal',I,VVS1,GIA,natural
Princess,0.41,Ideal,F,VVS1,GIA,natural
Round,0.81,'Super Ideal',G,VVS2,GIA,natural
Pear,1.66,Ideal,I,VS2,IGI,lab
Emerald,0.71,'Very Good',D,SI2,GCAL,lab
Round,0.5,'Very Good',I,VS1,GIA,natural
Round,2.0,'Super Ideal',G,VS2,IGI,lab
Emerald,0.7,Ideal,G,VS2,GIA,natural
Emerald,1.0,Ideal,F,SI1,IGI,lab
Pear,0.6,Good,D,VS1,IGI,lab
Oval,0.51,Ideal,D,VS1,GCAL,lab
Oval,1.03,'Super Ideal',F,VS1,IGI,lab
Pear,0.33,Good,E,VVS2,IGI,lab
Pear,0.5,Ideal,F,VS1,IGI,lab
Round,2.0,'Super Ideal',F,VS2,IGI,lab
Round,0.42,'Super Ideal',F,VVS1,GIA,natural
Round,1.5,Ideal,J,SI1,IGI,lab
Round,0.3,'Super Ideal',E,VS2,GIA,natural
Round,0.3,'Super Ideal',E,VVS2,GIA,natural
Round,0.45,'Super Ideal',D,VS1,GIA,natural
Round,0.71,'Super Ideal',H,VVS1,GIA,natural
Round,1.01,'Super Ideal',D,SI1,GIA,natural
Oval,0.37,'Super Ideal',E,VS2,IGI,lab
Round,1.03,'Super Ideal',H,SI1,GIA,natural
Round,0.4,'Very Good',E,VVS2,GIA,natural
Round,0.3,'Very Good',E,VS1,GIA,natural
Round,0.66,'Super Ideal',F,IF,GIA,natural
Oval,0.3,Ideal,F,VS1,GIA,natural
Pear,0.52,Ideal,H,VS2,IGI,lab
Cushion,10.15,'Super Ideal',D,FL,GIA,natural
Round,0.33,'Super Ideal',E,VVS2,GIA,natural
Pear,0.6,'Very Good',D,SI2,GIA,natural
Round,0.3,'Super Ideal',H,VVS1,GIA,natural
Emerald,0.33,Ideal,D,VS1,GIA,natural
Round,0.79,'Super Ideal',F,VS1,IGI,lab
Round,0.41,'Super Ideal',E,SI1,GIA,natural
Oval,2.04,'Super Ideal',I,SI2,IGI,lab
Round,0.4,'Super Ideal',F,VVS1,GIA,natural
Round,1.69,'Super Ideal',E,SI2,IGI,lab
Round,0.6,'Super Ideal',D,VS2,GIA,natural
Round,1.02,'Super Ideal',F,VS2,GIA,natural
Heart,1.04,'Very Good',G,VS1,IGI,lab
Round,0.5,'Super Ideal',D,VVS2,GIA,natural
Round,0.8,'Super Ideal',I,SI1,GIA,natural
Princess,1.07,'Very Good',E,VVS2,GCAL,lab
Round,0.25,'Super Ideal',D,VVS2,GIA,natural
Round,0.5,'Super Ideal',D,VS2,IGI,lab
Emerald,2.52,'Very Good',E,VS1,GCAL,lab
Cushion,1.5,'Super Ideal',E,VVS1,GIA,natural
Round,0.5,Fair,H,VS2,GIA,natural
Round,0.3,'Super Ideal',G,VS1,GIA,natural
Radiant,0.5,Ideal,E,VVS2,IGI,lab
Round,1.58,'Super Ideal',J,VVS2,IGI,lab
Round,2.0,'Super Ideal',E,VS2,IGI,lab
Round,0.5,Ideal,I,VS1,IGI,lab
Round,1.17,Ideal,I,VS2,IGI,lab
Round,0.4,'Very Good',E,VS2,GIA,natural
Round,1.19,'Super Ideal',E,SI1,IGI,lab
Round,1.61,'Super Ideal',J,VS2,IGI,lab
Pear,0.54,Good,E,VS1,IGI,lab
Marquise,0.31,'Very Good',F,VS2,GIA,natural
Round,1.5,'Very Good',J,VS2,IGI,lab
Round,0.3,'Super Ideal',F,VS1,GIA,natural
Round,0.73,'Super Ideal',G,VS2,GIA,natural
Round,0.3,'Super Ideal',D,VVS2,IGI,lab
Round,0.32,'Super Ideal',D,SI1,IGI,lab
Round,0.51,'Super Ideal',F,VS1,GIA,natural
Round,0.3,'Very Good',D,SI1,GIA,natural
Oval,0.51,Ideal,H,SI1,IGI,lab
Round,0.43,'Super Ideal',D,VS1,GIA,natural
Round,1.72,Ideal,G,SI2,IGI,lab
Round,1.25,'Super Ideal',E,VVS2,IGI,lab
Round,1.1,'Super Ideal',I,SI1,IGI,lab
Round,1.65,'Super Ideal',G,IF,GIA,natural
Round,0.6,Ideal,F,SI2,GIA,natural
Pear,0.36,Good,J,SI1,IGI,lab
Round,1.0,Good,G,SI1,GIA,natural
Round,0.8,'Super Ideal',F,VS1,GIA,natural
Round,0.5,'Very Good',I,VVS2,GIA,natural
Cushion,1.52,Ideal,G,SI2,GIA,natural
Marquise,0.41,Ideal,F,VS2,GIA,natural
Round,0.6,'Super Ideal',G,VS2,GIA,natural
Round,0.36,'Super Ideal',E,VS1,IGI,lab
Oval,1.53,'Super Ideal',I,SI1,IGI,lab
Round,0.3,'Super Ideal',E,VS1,IGI,lab
Pear,1.5,'Very Good',I,SI1,GIA,natural
Round,0.5,'Super Ideal',F,VVS1,GIA,natural
Princess,0.53,Ideal,D,VS2,GIA,natural
Round,1.01,Fair,H,SI2,GIA,natural
Oval,0.7,'Super Ideal',D,SI1,GIA,natural
Round,0.51,'Super Ideal',H,VS1,IGI,lab
Round,0.5,'Super Ideal',E,SI1,GIA,natural
Oval,0.59,Ideal,I,VS2,GIA,natural
Pear,0.63,'Very Good',F,VS2,IGI,lab
Emerald,1.02,Ideal,D,VS2,IGI,lab
Round,0.7,'Super Ideal',E,VS2,GIA,natural
Round,1.29,'Super Ideal',I,SI2,GIA,natural
Round,1.0,Ideal,G,SI2,IGI,natural
Princess,0.89,Ideal,I,SI1,IGI,lab
Round,1.2,'Super Ideal',I,VVS2,GIA,natural
Round,0.46,'Super Ideal',I,VS2,GIA,natural
Emerald,0.46,Ideal,H,VVS2,IGI,lab
Round,1.24,'Super Ideal',H,SI2,IGI,lab
Oval,0.35,'Super Ideal',E,VS2,IGI,lab
Round,0.74,Ideal,F,VS2,GCAL,lab
Round,0.5,'Super Ideal',E,VS1,GIA,natural
Round,0.84,'Super Ideal',F,VS2,GIA,natural
Round,0.3,Ideal,D,VS1,GIA,natural
Round,0.33,'Super Ideal',F,VVS1,GIA,natural
Round,2.43,'Super Ideal',D,VVS2,GIA,natural
Round,0.6,'Super Ideal',H,IF,GIA,natural
Round,1.4,'Super Ideal',G,SI1,GIA,natural
Asscher,0.67,'Very Good',G,VS2,IGI,lab
Round,0.32,'Super Ideal',E,VS2,GIA,natural
Round,0.5,'Super Ideal',G,VS2,GIA,natural
Round,2.07,Ideal,J,VS1,IGI,lab
Round,0.3,'Super Ideal',F,VVS2,GIA,natural
Round,0.74,Ideal,E,SI2,IGI,lab
Round,0.3,'Super Ideal',E,VVS1,GIA,natural
Marquise,0.43,'Very Good',F,SI1,GIA,natural
Round,1.18,Ideal,E,VVS2,IGI,lab
Round,0.69,'Very Good',E,VS2,IGI,lab
Round,2.0,'Super Ideal',J,VS2,IGI,lab
Round,2.01,'Super Ideal',E,VS1,IGI,lab
Round,1.0,Ideal,D,SI1,IGI,lab
Heart,0.3,Ideal,F,SI1,GIA,natural
Radiant,1.04,Ideal,E,SI1,IGI,lab
Princess,0.6,Ideal,G,VVS2,GIA,natural
Round,0.54,'Super Ideal',E,VS1,GIA,natural
Oval,0.4,'Very Good',D,VS2,GIA,natural
Round,0.69,'Super Ideal',H,VS1,GIA,natural
Round,0.8,Ideal,J,SI1,GIA,natural
Round,0.35,'Super Ideal',I,SI2,IGI,lab
Round,0.3,'Very Good',D,VVS1,IGI,lab
Radiant,1.01,'Very Good',J,SI2,GIA,natural
Oval,0.51,'Super Ideal',D,VS2,GIA,natural
Round,1.25,Ideal,I,SI1,IGI,lab
Round,0.4,'Very Good',J,VS1,GIA,natural
Oval,2.09,'Super Ideal',J,SI1,IGI,lab
Round,0.8,'Super Ideal',D,VS1,GIA,natural
Oval,1.51,'Very Good',E,SI2,IGI,natural
Round,0.8,'Super Ideal',I,VVS2,GIA,natural
Round,1.16,Ideal,E,VVS2,IGI,lab
Radiant,1.2,Good,H,SI2,GIA,natural
Round,1.01,Ideal,F,VS2,GCAL,lab
Oval,2.11,Ideal,G,VS2,IGI,lab
Round,0.4,Ideal,F,VVS2,GIA,natural
Princess,1.61,Ideal,I,SI2,GIA,natural
Round,1.0,'Super Ideal',F,SI1,GIA,natural
Round,1.61,Ideal,J,SI1,IGI,lab
Round,1.13,'Super Ideal',H,SI2,HRD,lab
Heart,0.3,Ideal,D,VS2,GIA,natural
Round,1.21,Ideal,F,VS1,IGI,lab
Emerald,0.37,Ideal,I,SI1,GIA,natural
Emerald,1.01,Ideal,E,VVS1,GIA,natural
Heart,0.33,Ideal,G,VS1,GIA,natural
Round,0.26,'Super Ideal',D,VVS2,GIA,natural
Round,0.5,'Super Ideal',F,VVS2,GIA,natural
Pear,1.5,Ideal,J,VS1,IGI,lab
Round,1.1,'Super Ideal',D,SI1,IGI,lab
Round,1.17,'Super Ideal',F,SI1,IGI,lab
Pear,1.09,Ideal,I,VVS2,GCAL,lab
Round,1.01,'Super Ideal',E,VS1,IGI,lab
Round,0.31,'Super Ideal',G,SI1,GIA,natural
Round,0.35,Ideal,F,VS1,GIA,natural
Round,0.54,'Super Ideal',F,VS1,GIA,natural
Marquise,0.5,Ideal,E,VS2,GIA,natural
Round,1.83,Ideal,I,SI1,IGI,lab
Round,1.03,'Super Ideal',G,VS1,IGI,lab
Round,0.51,'Super Ideal',D,VVS2,GIA,natural
Cushion,1.5,Good,H,VVS2,GIA,natural
Oval,2.0,'Very Good',H,SI2,GIA,natural
Round,1.01,'Very Good',D,SI1,IGI,lab
Pear,0.54,Ideal,I,VS2,IGI,lab
Pear,0.52,Ideal,D,VVS1,GIA,natural
Round,0.59,'Super Ideal',E,VS2,IGI,lab
Round,0.3,'Super Ideal',D,VVS2,GIA,natural
Marquise,0.5,'Super Ideal',E,VVS1,GIA,natural
Round,0.6,Ideal,G,VS1,IGI,lab
Emerald,0.5,Ideal,D,VS1,GIA,natural
Round,0.3,'Super Ideal',D,SI2,GIA,natural
Round,0.41,'Super Ideal',F,IF,GIA,natural
Pear,0.3,Ideal,G,SI1,GIA,natural
Round,0.5,Ideal,E,VS1,GIA,natural
Round,0.53,'Super Ideal',J,VVS2,GIA,natural
Round,0.34,Ideal,H,IF,GIA,natural
Oval,1.01,'Very Good',F,VS2,GIA,natural
Round,0.75,'Super Ideal',F,SI1,GIA,natural
Round,1.57,'Super Ideal',H,VS2,IGI,lab
Round,0.31,'Super Ideal',F,VVS1,IGI,lab
Round,0.32,Ideal,D,VS2,IGI,lab
Princess,1.61,Ideal,H,VS1,GCAL,lab
Cushion,1.04,'Super Ideal',G,SI2,IGI,lab
Round,0.7,'Very Good',E,SI2,IGI,lab
Emerald,0.4,Ideal,F,SI1,GIA,natural
Round,0.96,'Very Good',I,VS1,GCAL,lab
Round,1.02,'Super Ideal',I,VS2,IGI,lab
Round,0.9,Ideal,J,SI2,IGI,lab
Round,0.96,'Very Good',F,SI2,GIA,natural
Emerald,0.3,Ideal,D,VVS2,GIA,natural
Round,0.34,'Super Ideal',E,VVS1,GIA,natural
Round,1.07,Ideal,F,VS2,GCAL,lab
Round,0.31,'Super Ideal',E,VS1,GIA,natural
Round,0.66,Ideal,E,SI2,IGI,lab
Emerald,1.06,Ideal,E,VVS2,GIA,natural
Round,1.03,'Super Ideal',H,VS1,IGI,lab
Cushion,5.12,Good,F,VS2,IGI,lab
Pear,1.2,Ideal,I,SI2,GIA,natural
Round,0.71,'Super Ideal',J,SI1,IGI,lab
Round,0.45,'Very Good',D,VVS2,GIA,natural
Emerald,0.3,Ideal,F,VS1,GIA,natural
Round,0.35,'Super Ideal',E,VS1,GIA,natural
Round,0.26,'Super Ideal',G,VS1,GIA,natural
Round,0.3,'Very Good',D,VS2,GIA,natural
Round,1.0,Fair,E,SI1,HRD,natural
Pear,0.72,Ideal,D,VVS1,IGI,lab
Round,0.85,Ideal,F,SI2,IGI,lab
Princess,1.2,Ideal,G,VS1,IGI,lab
Emerald,1.01,'Super Ideal',J,VS2,GIA,natural
Round,0.63,'Super Ideal',D,SI1,GIA,natural
Round,2.15,Ideal,J,VVS2,IGI,lab
Round,1.51,'Very Good',I,VS2,IGI,lab
Round,0.72,'Super Ideal',G,VVS2,GIA,natural
Round,1.0,'Super Ideal',D,VS2,GIA,natural
Round,1.51,'Super Ideal',I,VS2,IGI,lab
Round,0.36,'Super Ideal',D,VS2,IGI,lab
Round,0.25,'Super Ideal',F,VS1,GIA,natural
Round,1.0,'Very Good',I,VVS2,IGI,lab
Round,1.3,Ideal,H,SI1,IGI,lab
Round,1.19,'Super Ideal',J,SI1,IGI,lab
Round,0.8,'Very Good',E,SI2,IGI,lab
Round,0.5,'Very Good',F,VS1,GIA,natural
Round,1.0,Good,J,VVS2,GIA,natural
Emerald,0.8,Ideal,E,VVS2,GIA,natural
Cushion,0.77,'Very Good',E,VS1,IGI,lab
Round,0.3,'Very Good',F,VS1,GIA,natural
Round,1.01,'Super Ideal',D,SI1,IGI,lab
Round,0.3,'Very Good',I,VS2,GIA,natural
Oval,1.0,Ideal,F,SI2,GIA,natural
Round,0.81,'Super Ideal',G,SI1,GIA,natural
Emerald,1.52,Ideal,E,SI1,IGI,lab
Pear,0.57,Ideal,H,SI1,IGI,lab
Princess,0.35,Ideal,F,SI1,GIA,natural
Round,0.4,'Super Ideal',I,SI1,GIA,natural
Emerald,0.42,Ideal,F,VVS2,GIA,natural
Oval,0.5,'Very Good',G,VS2,GIA,natural
Pear,1.54,'Very Good',I,SI2,IGI,lab
Round,0.3,Ideal,E,SI1,GIA,natural
Princess,2.14,'Super Ideal',F,VS1,IGI,lab
Emerald,0.5,Ideal,E,SI1,GIA,natural
Round,2.02,Ideal,E,VS2,IGI,lab
Oval,0.71,'Very Good',F,SI1,IGI,lab
Round,0.48,Ideal,E,VVS2,IGI,lab
Pear,0.38,Good,F,VS2,GIA,natural
Pear,0.59,'Very Good',E,SI1,GIA,natural
Cushion,0.8,'Very Good',G,VVS2,IGI,lab
Round,0.7,'Super Ideal',F,VS1,GIA,natural
Round,0.5,'Very Good',D,VVS2,GIA,natural
Round,0.53,'Super Ideal',E,VVS1,GIA,natural
Round,0.45,'Super Ideal',F,VS2,GIA,natural
Round,0.3,Ideal,F,SI2,GIA,natural
Pear,0.32,'Very Good',F,VS2,GCAL,lab
Round,0.3,Ideal,D,SI1,GIA,natural
Round,0.7,'Super Ideal',E,SI1,IGI,lab
Round,0.32,'Super Ideal',D,VS2,GIA,natural
Pear,0.9,Ideal,F,SI2,GIA,natural
Round,2.51,'Super Ideal',G,VS2,IGI,lab
Round,1.5,Ideal,H,VS2,IGI,lab
Round,0.3,'Super Ideal',D,VVS2,GIA,natural
Round,1.2,'Very Good',I,SI1,GIA,natural
Pear,0.37,Ideal,I,SI1,IGI,lab
Pear,0.4,'Very Good',D,VS2,IGI,lab
Round,0.58,'Super Ideal',E,VVS1,GIA,natural
Oval,0.41,Ideal,D,VVS1,GIA,natural
Marquise,0.45,'Very Good',D,VVS1,GIA,natural
Princess,0.6,Ideal,G,VVS2,IGI,lab
Round,0.6,'Super Ideal',E,VVS2,GIA,natural
Pear,0.5,Good,D,SI1,IGI,lab
Round,0.51,'Super Ideal',F,VVS2,GIA,natural
Oval,0.33,Ideal,D,VS2,GIA,natural
Round,0.4,'Super Ideal',D,VS1,GIA,natural
Cushion,1.04,'Very Good',E,SI1,IGI,lab
Pear,1.5,Ideal,I,VS2,IGI,lab
Round,0.9,'Super Ideal',I,SI2,GIA,natural
Round,0.51,'Super Ideal',I,SI1,IGI,lab
Round,0.64,Ideal,D,VS1,GIA,natural
Emerald,0.7,Ideal,H,VVS1,GIA,natural
Round,1.15,'Super Ideal',H,VS2,HRD,lab
Cushion,0.93,'Very Good',E,VS1,IGI,lab
Round,0.32,'Super Ideal',E,VS2,GIA,natural
Oval,0.3,'Very Good',H,SI1,GIA,natural
Round,0.3,'Super Ideal',D,SI1,GIA,natural
Oval,1.53,Ideal,I,SI1,IGI,lab
Oval,1.2,Ideal,G,SI1,GIA,natural
Emerald,1.01,'Super Ideal',E,SI1,IGI,lab
Oval,2.04,'Super Ideal',I,SI1,IGI,lab
Round,0.5,'Very Good',D,VVS1,GIA,natural
Emerald,0.54,'Very Good',E,VS2,IGI,lab
Round,0.33,'Super Ideal',E,VS1,IGI,lab
Heart,1.0,Ideal,F,SI2,IGI,natural
Round,1.01,Ideal,I,SI2,IGI,lab
Oval,0.7,'Very Good',E,VS1,GIA,natural
Cushion,1.73,'Very Good',E,VS2,IGI,lab
Round,0.9,'Very Good',H,VS1,GIA,natural
Round,1.01,'Super Ideal',H,VS2,GIA,natural
Round,0.55,'Super Ideal',D,VVS2,GIA,natural
Cushion,0.9,Ideal,D,VS1,GIA,natural
Round,0.41,'Super Ideal',H,VVS1,GIA,natural
Pear,0.53,Ideal,H,VS2,IGI,lab
Pear,0.34,Ideal,E,VS1,IGI,lab
Round,0.3,'Super Ideal',H,IF,GIA,natural
Oval,0.56,Ideal,H,VS1,IGI,lab
Round,0.45,'Very Good',I,VVS2,GIA,natural
Round,2.65,'Super Ideal',H,VS2,IGI,lab
Oval,1.2,'Super Ideal',F,SI2,IGI,natural
Round,1.2,'Super Ideal',H,VS1,IGI,lab
Cushion,3.05,Ideal,F,VVS2,IGI,lab
Round,0.5,'Super Ideal',D,VS2,GIA,natural
Round,1.5,'Super Ideal',J,SI1,IGI,lab
Round,1.0,'Super Ideal',D,SI2,GIA,natural
Oval,0.51,Ideal,E,VS1,IGI,lab
Cushion,1.01,'Very Good',E,SI1,IGI,lab
Round,2.33,'Super Ideal',H,SI1,IGI,lab
Round,1.02,'Super Ideal',J,VS2,GIA,natural
Cushion,0.71,Ideal,G,VVS2,IGI,lab
Oval,2.54,'Very Good',D,VS2,IGI,lab
Oval,1.5,'Very Good',I,SI1,GIA,natural
Pear,0.7,Ideal,G,SI1,GIA,natural
Round,1.83,'Super Ideal',F,VS2,IGI,lab
Round,0.9,'Very Good',E,VVS2,GIA,natural
Round,0.71,'Very Good',E,VS2,GIA,natural
Emerald,1.5,'Very Good',G,SI2,GIA,natural
Round,0.5,'Very Good',E,SI1,IGI,lab
Round,0.4,'Very Good',H,VS2,GIA,natural
Round,0.31,'Super Ideal',E,SI1,GIA,natural
Round,0.31,'Super Ideal',F,VS1,GIA,natural
Oval,1.54,'Very Good',H,VS1,GCAL,lab
Round,0.7,'Very Good',D,VS2,GIA,natural
Round,0.7,'Super Ideal',G,VVS2,GIA,natural
Round,0.62,Ideal,I,VS1,IGI,lab
Radiant,3.02,Ideal,E,VS1,GCAL,lab
Princess,0.5,'Super Ideal',D,SI1,GIA,natural
Oval,1.0,'Very Good',G,VS1,IGI,lab
Round,0.31,'Super Ideal',E,IF,GIA,natural
Round,0.5,'Super Ideal',D,VVS2,GIA,natural
Oval,2.35,'Very Good',H,VS2,GCAL,lab
Emerald,0.91,'Super Ideal',E,SI1,IGI,lab
Round,1.04,'Super Ideal',I,VVS2,IGI,lab
Pear,0.7,Ideal,H,VVS2,GIA,natural
Round,1.11,'Super Ideal',H,VVS2,IGI,lab
Emerald,0.5,'Super Ideal',I,VVS2,GIA,natural
Oval,0.52,'Super Ideal',E,VS2,IGI,lab
Round,0.81,'Super Ideal',D,SI2,IGI,lab
Oval,0.4,'Very Good',H,VS2,IGI,lab
Round,0.41,'Super Ideal',J,VVS2,GIA,natural
Pear,0.62,'Very Good',D,SI1,GIA,natural
Round,1.18,Ideal,E,VS1,IGI,lab
Round,2.12,Ideal,J,VVS2,IGI,lab
Round,0.37,'Super Ideal',H,IF,GIA,natural
Round,0.73,Ideal,F,SI2,IGI,lab
Round,1.16,Ideal,H,VS2,HRD,lab
Round,0.3,Ideal,E,VVS2,GIA,natural
Round,1.09,'Super Ideal',I,VS2,GIA,natural
Round,0.3,'Super Ideal',F,VVS2,GIA,natural
Pear,0.31,Ideal,H,VS2,GIA,natural
Pear,0.3,'Very Good',G,SI2,IGI,lab
Round,0.42,'Super Ideal',D,SI1,GIA,natural
